,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,main_artist,artist_id,song
674,0.664,0.521,2.0,-13.251,1.0,0.031,0.0935,0.000493,0.0502,0.746,86.142,audio_features,1NT76WD8FONQqTXKZ4MIRT,spotify:track:1NT76WD8FONQqTXKZ4MIRT,https://api.spotify.com/v1/tracks/1NT76WD8FONQqTXKZ4MIRT,https://api.spotify.com/v1/audio-analysis/1NT76WD8FONQqTXKZ4MIRT,209733.0,4.0,Santana,6GI52t8N5F02MxU0g5U69P,Winning
675,0.4,0.747,6.0,-9.438,1.0,0.045,0.163,0.0,0.0774,0.674,203.396,audio_features,1cItNpcJskTVETprljc7HV,spotify:track:1cItNpcJskTVETprljc7HV,https://api.spotify.com/v1/tracks/1cItNpcJskTVETprljc7HV,https://api.spotify.com/v1/audio-analysis/1cItNpcJskTVETprljc7HV,219289.0,4.0,Extreme,6w7j5wQ5AI5OQYlcM15s2L,Hole Hearted
676,0.577,0.807,2.0,-9.281,1.0,0.0449,0.00233,0.000257,0.0755,0.891,114.921,audio_features,5tORtBzHUAnNrIw5Ql3kHZ,spotify:track:5tORtBzHUAnNrIw5Ql3kHZ,https://api.spotify.com/v1/tracks/5tORtBzHUAnNrIw5Ql3kHZ,https://api.spotify.com/v1/audio-analysis/5tORtBzHUAnNrIw5Ql3kHZ,205000.0,4.0,The Georgia Satellites,2hnzQ6eCFkxUIPsVcsdj8A,Keep Your Hands to Yourself
677,0.704,0.893,4.0,-8.038,0.0,0.0477,0.121,0.00322,0.19,0.644,114.953,audio_features,7wzl8TbHkZs68YH67cQmjB,spotify:track:7wzl8TbHkZs68YH67cQmjB,https://api.spotify.com/v1/tracks/7wzl8TbHkZs68YH67cQmjB,https://api.spotify.com/v1/audio-analysis/7wzl8TbHkZs68YH67cQmjB,290600.0,4.0,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Black Cat
678,0.759,0.645,0.0,-13.352,1.0,0.0276,0.07,0.0403,0.0986,0.954,117.254,audio_features,2QlPByrmEO9XciNBXCrawR,spotify:track:2QlPByrmEO9XciNBXCrawR,https://api.spotify.com/v1/tracks/2QlPByrmEO9XciNBXCrawR,https://api.spotify.com/v1/audio-analysis/2QlPByrmEO9XciNBXCrawR,320733.0,4.0,Steve Winwood,5gxynDEKwNDgxGJmJjZyte,Roll With It
679,0.613,0.912,2.0,-4.638,1.0,0.0328,0.0378,3.65e-05,0.52,0.733,131.968,audio_features,1lJZSsMoWEbrgaY6CxPMf8,spotify:track:1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/tracks/1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/audio-analysis/1lJZSsMoWEbrgaY6CxPMf8,268240.0,4.0,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,Would I Lie to You? - Remastered Version
680,0.573,0.806,0.0,-10.978,1.0,0.0356,0.151,0.0116,0.405,0.934,186.328,audio_features,6QqK6a1CmV4L504uMQaGDH,spotify:track:6QqK6a1CmV4L504uMQaGDH,https://api.spotify.com/v1/tracks/6QqK6a1CmV4L504uMQaGDH,https://api.spotify.com/v1/audio-analysis/6QqK6a1CmV4L504uMQaGDH,237507.0,4.0,The J. Geils Band,69Mj3u4FTUrpyeGNSIaU6F,Freeze-Frame
681,0.578,0.673,7.0,-13.156,1.0,0.0446,0.0968,8.33e-05,0.0927,0.721,119.786,audio_features,0eDwzWuy2gf1RJzqWl0dkF,spotify:track:0eDwzWuy2gf1RJzqWl0dkF,https://api.spotify.com/v1/tracks/0eDwzWuy2gf1RJzqWl0dkF,https://api.spotify.com/v1/audio-analysis/0eDwzWuy2gf1RJzqWl0dkF,171573.0,4.0,Crowded House,7ohlPA8dRBtCf92zaZCaaB,Something So Strong
682,0.648,0.89,2.0,-3.834,1.0,0.0429,0.288,0.0,0.119,0.808,126.956,audio_features,55lX3vm1G35mUpawXHK5Te,spotify:track:55lX3vm1G35mUpawXHK5Te,https://api.spotify.com/v1/tracks/55lX3vm1G35mUpawXHK5Te,https://api.spotify.com/v1/audio-analysis/55lX3vm1G35mUpawXHK5Te,213733.0,4.0,Amy Grant,72Nhcx7prNk2ZCxhx0Y5es,Every Heartbeat
683,0.656,0.899,5.0,-5.039,1.0,0.0565,0.0261,0.0,0.0936,0.865,113.239,audio_features,3kme5Qos8h04yrKxsgur79,spotify:track:3kme5Qos8h04yrKxsgur79,https://api.spotify.com/v1/tracks/3kme5Qos8h04yrKxsgur79,https://api.spotify.com/v1/audio-analysis/3kme5Qos8h04yrKxsgur79,229280.0,4.0,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Open Your Heart
684,0.743,0.354,9.0,-13.619,1.0,0.0285,0.683,4.55e-05,0.0621,0.8,95.123,audio_features,2K5LRXf7eGH9HzdeNPZc2a,spotify:track:2K5LRXf7eGH9HzdeNPZc2a,https://api.spotify.com/v1/tracks/2K5LRXf7eGH9HzdeNPZc2a,https://api.spotify.com/v1/audio-analysis/2K5LRXf7eGH9HzdeNPZc2a,258400.0,4.0,Howard Jones,6loBF9iQdE11WSX29fNKqY,No One Is To Blame
685,0.807,0.764,2.0,-5.186,1.0,0.0312,0.082,3.87e-05,0.115,0.371,119.867,audio_features,4FMNpPI7mkhdeFCCk6fZiE,spotify:track:4FMNpPI7mkhdeFCCk6fZiE,https://api.spotify.com/v1/tracks/4FMNpPI7mkhdeFCCk6fZiE,https://api.spotify.com/v1/audio-analysis/4FMNpPI7mkhdeFCCk6fZiE,238360.0,4.0,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Borderline
686,0.701,0.891,2.0,-7.873,1.0,0.0446,0.185,0.0454,0.076,0.747,119.966,audio_features,0lmS0Wofcv7B7uFYssSKta,spotify:track:0lmS0Wofcv7B7uFYssSKta,https://api.spotify.com/v1/tracks/0lmS0Wofcv7B7uFYssSKta,https://api.spotify.com/v1/audio-analysis/0lmS0Wofcv7B7uFYssSKta,299073.0,4.0,Paula Abdul,4PpmBoqphQusNFsxuVKb6j,Forever Your Girl
687,0.622,0.964,1.0,-4.314,1.0,0.0832,0.0636,1.03e-05,0.235,0.609,92.973,audio_features,03gsb1WnVQUuLqChBvzmoo,spotify:track:03gsb1WnVQUuLqChBvzmoo,https://api.spotify.com/v1/tracks/03gsb1WnVQUuLqChBvzmoo,https://api.spotify.com/v1/audio-analysis/03gsb1WnVQUuLqChBvzmoo,236933.0,4.0,Everclear,694QW15WkebjcrWgQHzRYF,AM Radio
688,0.729,0.356,6.0,-13.743,0.0,0.0347,0.0916,0.0905,0.052,0.392,95.026,audio_features,5r2z0FHOoFI06GZEVGDjzM,spotify:track:5r2z0FHOoFI06GZEVGDjzM,https://api.spotify.com/v1/tracks/5r2z0FHOoFI06GZEVGDjzM,https://api.spotify.com/v1/audio-analysis/5r2z0FHOoFI06GZEVGDjzM,240333.0,4.0,Squeeze,6Jrj26oAY96EEC2lqC6fua,Tempted
689,0.73,0.764,10.0,-6.525,1.0,0.0473,0.0764,0.000278,0.138,0.778,127.242,audio_features,7e76lQ3YBwyO4LgaUabYrG,spotify:track:7e76lQ3YBwyO4LgaUabYrG,https://api.spotify.com/v1/tracks/7e76lQ3YBwyO4LgaUabYrG,https://api.spotify.com/v1/audio-analysis/7e76lQ3YBwyO4LgaUabYrG,230067.0,4.0,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,A Change Would Do You Good
690,0.524,0.641,0.0,-8.967,1.0,0.0497,0.0437,2.78e-05,0.159,0.482,141.65,audio_features,7ndGFo9nZ108KPgXtfYWCe,spotify:track:7ndGFo9nZ108KPgXtfYWCe,https://api.spotify.com/v1/tracks/7ndGFo9nZ108KPgXtfYWCe,https://api.spotify.com/v1/audio-analysis/7ndGFo9nZ108KPgXtfYWCe,184543.0,4.0,U2,51Blml2LZPmy7TTiAg47vQ,Sweetest Thing
691,0.467,0.483,2.0,-16.163,1.0,0.0409,0.0129,0.000718,0.0485,0.598,114.602,audio_features,4GPe1qjQCvOIa8vLBKDI9d,spotify:track:4GPe1qjQCvOIa8vLBKDI9d,https://api.spotify.com/v1/tracks/4GPe1qjQCvOIa8vLBKDI9d,https://api.spotify.com/v1/audio-analysis/4GPe1qjQCvOIa8vLBKDI9d,318400.0,4.0,Deep Blue Something,5N5RfI8FFXk4WQ8kkjE407,Breakfast At Tiffany's
692,0.692,0.912,0.0,-5.26,1.0,0.0353,0.151,0.000217,0.132,0.886,107.388,audio_features,4hbXvRJfgctBgz7PVBtWQu,spotify:track:4hbXvRJfgctBgz7PVBtWQu,https://api.spotify.com/v1/tracks/4hbXvRJfgctBgz7PVBtWQu,https://api.spotify.com/v1/audio-analysis/4hbXvRJfgctBgz7PVBtWQu,283040.0,4.0,Taylor Dayne,32lVGr0fSRGT6okLKHiP68,I'll Be Your Shelter
693,0.623,0.797,11.0,-10.826,1.0,0.0509,0.296,8.34e-05,0.613,0.802,89.274,audio_features,1QlIB0pkLKR8vEDSW7r42t,spotify:track:1QlIB0pkLKR8vEDSW7r42t,https://api.spotify.com/v1/tracks/1QlIB0pkLKR8vEDSW7r42t,https://api.spotify.com/v1/audio-analysis/1QlIB0pkLKR8vEDSW7r42t,300800.0,4.0,Martin Page,3NS6XjRa7OyZv6KjfkH5qC,In The House Of Stone And Light
694,0.633,0.795,0.0,-7.617,1.0,0.0319,0.054,8.83e-05,0.34,0.833,103.504,audio_features,4SZozsPsG0vJ2Ti8BGxKsR,spotify:track:4SZozsPsG0vJ2Ti8BGxKsR,https://api.spotify.com/v1/tracks/4SZozsPsG0vJ2Ti8BGxKsR,https://api.spotify.com/v1/audio-analysis/4SZozsPsG0vJ2Ti8BGxKsR,250813.0,4.0,Michael Penn,4GcBbZ5wVhNABLzm4MpJqG,No Myth
695,0.748,0.629,0.0,-8.42,1.0,0.066,0.0168,0.0,0.0991,0.919,182.448,audio_features,3Xc9bjr5C5xQBi7g535otV,spotify:track:3Xc9bjr5C5xQBi7g535otV,https://api.spotify.com/v1/tracks/3Xc9bjr5C5xQBi7g535otV,https://api.spotify.com/v1/audio-analysis/3Xc9bjr5C5xQBi7g535otV,294947.0,4.0,Club Nouveau,4kEAjV4pCBOkoowYYQydvO,Lean on Me - Rerecorded
696,0.588,0.826,11.0,-6.182,0.0,0.0569,0.0351,0.0,0.454,0.621,129.021,audio_features,2ck13qfgRZ1msyEJlDqzvk,spotify:track:2ck13qfgRZ1msyEJlDqzvk,https://api.spotify.com/v1/tracks/2ck13qfgRZ1msyEJlDqzvk,https://api.spotify.com/v1/audio-analysis/2ck13qfgRZ1msyEJlDqzvk,263653.0,4.0,Paula Cole,08DLZqQd6XDAVteF9nSEJ1,Where Have All the Cowboys Gone?
697,0.407,0.948,2.0,-5.186,1.0,0.168,0.00653,0.00126,0.661,0.479,171.319,audio_features,3mnNqugL0grFxgGd7J6YCJ,spotify:track:3mnNqugL0grFxgGd7J6YCJ,https://api.spotify.com/v1/tracks/3mnNqugL0grFxgGd7J6YCJ,https://api.spotify.com/v1/audio-analysis/3mnNqugL0grFxgGd7J6YCJ,112773.0,4.0,John Cafferty & the Beaver Brown Band,5qwERxFiC8zCJvnVI8Zkl9,On the Dark Side
698,0.538,0.497,2.0,-12.068,1.0,0.0357,0.0747,1.64e-06,0.0713,0.89,168.065,audio_features,6A1MJbqxcHvNcT0u9qMqEP,spotify:track:6A1MJbqxcHvNcT0u9qMqEP,https://api.spotify.com/v1/tracks/6A1MJbqxcHvNcT0u9qMqEP,https://api.spotify.com/v1/audio-analysis/6A1MJbqxcHvNcT0u9qMqEP,187200.0,4.0,Cheap Trick,1LB8qB5BPb3MHQrfkvifXU,Don't Be Cruel
699,0.701,0.705,5.0,-6.18,1.0,0.0357,0.18,0.0,0.141,0.71,100.669,audio_features,6HcQZfMrw3KwGyzrKw1Pjy,spotify:track:6HcQZfMrw3KwGyzrKw1Pjy,https://api.spotify.com/v1/tracks/6HcQZfMrw3KwGyzrKw1Pjy,https://api.spotify.com/v1/audio-analysis/6HcQZfMrw3KwGyzrKw1Pjy,232960.0,4.0,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Dreamlover
700,0.457,0.825,8.0,-7.611,1.0,0.0268,3.29e-05,0.578,0.0548,0.414,82.539,audio_features,3cahGAUUQ0n55EjLBs2Wjo,spotify:track:3cahGAUUQ0n55EjLBs2Wjo,https://api.spotify.com/v1/tracks/3cahGAUUQ0n55EjLBs2Wjo,https://api.spotify.com/v1/audio-analysis/3cahGAUUQ0n55EjLBs2Wjo,201173.0,4.0,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,Today - 2011 Remaster
701,0.392,0.534,0.0,-8.793,1.0,0.0369,0.245,0.00104,0.155,0.325,181.305,audio_features,3G69vJMWsX6ZohTykad2AU,spotify:track:3G69vJMWsX6ZohTykad2AU,https://api.spotify.com/v1/tracks/3G69vJMWsX6ZohTykad2AU,https://api.spotify.com/v1/audio-analysis/3G69vJMWsX6ZohTykad2AU,276187.0,4.0,U2,51Blml2LZPmy7TTiAg47vQ,One
702,0.673,0.899,11.0,-3.528,1.0,0.0434,0.0911,0.0172,0.0481,0.793,129.885,audio_features,4UCTgh5jvtqoaMX6MAhUNn,spotify:track:4UCTgh5jvtqoaMX6MAhUNn,https://api.spotify.com/v1/tracks/4UCTgh5jvtqoaMX6MAhUNn,https://api.spotify.com/v1/audio-analysis/4UCTgh5jvtqoaMX6MAhUNn,224933.0,4.0,Depeche Mode,762310PdDnwsDxAQxzQkfX,Personal Jesus - Single Version
703,0.413,0.881,11.0,-5.541,0.0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,audio_features,5UWwZ5lm5PKu6eKsHAGxOk,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk,https://api.spotify.com/v1/audio-analysis/5UWwZ5lm5PKu6eKsHAGxOk,250547.0,4.0,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Everlong
